BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE MINORITY LEADER,2014,2014Q3,OTHER SERVICES,"62,524.00","22,884.00"
,OFFICE OF THE MINORITY LEADER,2014,2014Q3,SUPPLIES AND MATERIALS,"73,734.03","23,496.03"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q3,PERSONNEL COMPENSATION,"1,165,569.45","365,669.44"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q3,TRAVEL,"2,269.83",756.70
,OFFICE OF THE MAJORITY WHIP,2014,2014Q3,PRINTING AND REPRODUCTION,178.50,0.00
,OFFICE OF THE MAJORITY WHIP,2014,2014Q3,OTHER SERVICES,250.00,0.00
,OFFICE OF THE MAJORITY WHIP,2014,2014Q3,SUPPLIES AND MATERIALS,"14,460.63","3,849.84"
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,PERSONNEL COMPENSATION,"913,688.87","331,810.44"
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,TRAVEL,"1,418.61",712.71
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,"RENT, COMMUNICATION, UTILITIES",62.65,0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,PRINTING AND REPRODUCTION,137.22,0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,OTHER SERVICES,"2,853.49",0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q3,SUPPLIES AND MATERIALS,"8,750.66","7,511.72"
,DEMOCRATIC CAUCUS,2014,2014Q3,PERSONNEL COMPENSATION,"915,236.49","302,045.11"
,DEMOCRATIC CAUCUS,2014,2014Q3,TRAVEL,"2,614.06",580.04
,DEMOCRATIC CAUCUS,2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","1,826.49","1,499.29"
,DEMOCRATIC CAUCUS,2014,2014Q3,PRINTING AND REPRODUCTION,"4,532.20","4,384.20"
,DEMOCRATIC CAUCUS,2014,2014Q3,OTHER SERVICES,507.29,134.93
,DEMOCRATIC CAUCUS,2014,2014Q3,SUPPLIES AND MATERIALS,"48,655.29","14,443.19"
,REPUBLICAN CONFERENCE,2014,2014Q3,PERSONNEL COMPENSATION,"944,503.90","294,483.03"
,REPUBLICAN CONFERENCE,2014,2014Q3,TRAVEL,888.54,239.46
,REPUBLICAN CONFERENCE,2014,2014Q3,"RENT, COMMUNICATION, UTILITIES",981.53,9.80
,REPUBLICAN CONFERENCE,2014,2014Q3,PRINTING AND REPRODUCTION,"5,865.38","5,765.39"
,REPUBLICAN CONFERENCE,2014,2014Q3,OTHER SERVICES,"36,252.71","5,070.07"
,REPUBLICAN CONFERENCE,2014,2014Q3,SUPPLIES AND MATERIALS,"56,433.86","23,134.67"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,829,519.98",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"55,153,116.58","13,881,141.38"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,130.77,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"7,008.00","1,752.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,132.72,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,96.50,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"185,586.44","84,446.46"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"234,895.74","73,509.14"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"188,659.37","63,040.65"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"10,940.00","10,940.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"10,072.39","10,072.39"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,TRAVEL,"144,354.92","34,781.14"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","801,414.86","217,849.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,"44,432.16","5,911.93"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"1,235,112.46","530,746.78"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"995,001.78","296,838.19"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"455,551.22","108,904.79"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","40,975.42","21,163.09"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"2,502,390.03","751,004.44"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"102,583.04","46,607.83"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES",287.98,152.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,"4,395.00","2,930.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"73,296.93","47,324.43"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"1,630.96",30.96
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"72,793.54","12,454.37"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"53,612.42","37,715.76"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"239,138.59","72,900.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"81,945.00","25,380.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"254,914.67",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"501,455.04","48,200.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"643,585.44","17,285.44"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,385.70,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"467,455.75","97,560.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"48,419.31","1,338.46"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"623,170.00","623,170.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"46,401.50","43,146.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","98,979.84","58,217.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"3,290,201.00","1,360,056.03"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"248,632.85","128,213.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"2,110.84","2,110.84"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"263,604.75","263,604.75"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"976,194.54","428,346.14"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"1,562,925.26","652,196.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"783,000.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"7,831.11",227.58
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"47,074.61","47,074.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"278,341.78",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"81,985.18",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"338,905.37",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"114,102.51","38,563.91"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"469,806.49","400,769.02"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"105,688.52","105,688.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"4,253.72",923.50
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"47,490.22","13,505.07"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"112,000.00","21,757.17"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,927.33,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"12,255.02","6,179.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,TRANSPORTATION OF THINGS,377.01,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","34,348.30","8,066.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"34,785.44","12,784.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"17,491.00","12,832.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,273,458.32","549,651.12"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"760,031.39","299,142.69"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"66,653.13","18,332.13"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"2,262,330.87","318,757.46"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,TRAVEL,24.00,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","3,684,739.59","1,348,819.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"55,124.05","26,681.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"497,407.95",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"216,706.67","93,179.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"283,472.73","270,827.45"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,043,491.27","280,510.33"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,544.16,544.16
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"21,007.87",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"56,724.00","13,692.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"216,884.02",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"166,527.95","69,620.22"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"8,100.14","3,422.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"22,653.35",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"718,571.70","197,157.74"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"111,866.00","42,494.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"407,787.04","14,803.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"124,649.73",0.00
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"18,133,213.19","4,603,480.78"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,TRAVEL,"27,912.16","10,400.56"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","131,561.78","36,791.84"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,"9,419.45","1,761.11"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"1,354,916.95","377,499.52"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"399,541.05","129,780.58"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"756,481.87","424,833.76"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"1,258.00","1,258.00"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"4,821.76",59.30
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"1,201,766.55","307,381.66"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,TRAVEL,"8,869.96","4,165.21"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","7,033.43","2,007.85"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,597.50,84.85
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"16,342.16","1,611.94"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"37,463.10","9,478.35"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"7,949.11","3,719.98"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"7,698,288.80","2,462,267.10"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,629.56,0.00
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,238.69,0.00
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"1,278,500.00","316,250.00"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","22,244.95","6,939.61"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,6.40,6.40
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"15,900.21",0.00
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"5,143.15",914.53
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"18,400.00","3,462.00"
,COMPILATION OF PRECEDENTS,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"381,666.59","106,499.97"
,TECHNICAL ASSISTANTS,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"434,107.08","108,526.77"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,TRAVEL,"12,275.74","5,707.31"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"32,424.50","6,419.47"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"343,341.78","94,407.18"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,TRAVEL,25.00,25.00
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,TRANSPORTATION OF THINGS,12.99,12.99
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","30,828.27","10,007.49"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,"1,462.01",99.15
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"46,801.96","15,045.46"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"21,713.69","16,238.70"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"17,648.57","6,054.00"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"2,663,894.04","732,362.47"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,TRAVEL,"1,091.06",252.60
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","1,084.22",881.94
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,182.79,0.00
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"217,978.35","88,006.12"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"26,945.80","18,412.72"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,490.55",0.00
,LAW REVISION COUNSEL,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"2,141,655.64","540,872.25"
,LAW REVISION COUNSEL,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","7,686.08","2,099.35"
,LAW REVISION COUNSEL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"119,309.75","34,017.25"
,LAW REVISION COUNSEL,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"35,767.03","14,342.25"
,LAW REVISION COUNSEL,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"59,422.27","42,395.02"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"7,442,796.00","1,966,910.83"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,TRAVEL,"3,455.67","3,432.07"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","38,331.79","11,149.91"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,279.55,179.75
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"109,969.28","42,873.54"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"41,009.76","15,860.67"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"32,945.46","4,062.94"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"269,521.88","72,936.03"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","6,936.53","1,543.54"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,787.15,0.00
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"28,995.67","2,834.45"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"2,280.00",570.00
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"3,431,635.47","663,172.54"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,359.11,0.00
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"151,995.54","5,755.82"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"272,096.88","194,768.70"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"337,368.63","56,157.61"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"50,925.00",0.00
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"43,611.10","18,980.55"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"31,650.00","31,650.00"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"145,071.54",0.00
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,PERSONNEL COMPENSATION,"606,845.52","-480,956.34"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,TRAVEL,"5,088.67","1,690.47"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,TRANSPORTATION OF THINGS,10.00,10.00
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES",829.34,5.68
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,"1,192.39",83.96
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"372,344.89","165,266.95"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"117,771.33","17,316.36"
,SERGEANT AT ARMS,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"346,090.57","104,876.91"
,OEM,FISCAL YEAR 2014,2014Q3,TRAVEL,"41,953.47","9,792.87"
,OEM,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","154,730.22","37,351.83"
,OEM,FISCAL YEAR 2014,2014Q3,PRINTING AND REPRODUCTION,104.85,0.00
,OEM,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"1,119,165.84","210,186.59"
,OEM,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"21,967.61","5,469.46"
,OEM,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"67,764.62","69,363.33"
,TECHNOLOGY SUPPORT,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"14,985.00","14,985.00"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2014,2014Q3,"RENT, COMMUNICATION, UTILITIES","28,288.00","28,288.00"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,673.10","1,673.10"
,IMMEDIATE OFFICE,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"54,511.12","47,509.48"
,IMMEDIATE OFFICE,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"14,510.31","7,471.04"
,IMMEDIATE OFFICE,FISCAL YEAR 2014,2014Q3,EQUIPMENT,889.25,0.00
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2014,2014Q3,TRANSPORTATION OF THINGS,402.00,0.00
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2014,2014Q3,OTHER SERVICES,"25,488.00",0.00
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2014,2014Q3,SUPPLIES AND MATERIALS,"2,430.00",0.00
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2014,2014Q3,EQUIPMENT,"1,415,696.51","59,848.80"
