BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,857027.29,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,TRAVEL,1870.69,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",965.78,209.75
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,1243.7,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,4030.41,4030.41
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,47861.06,50
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,PERSONNEL BENEFITS,6249.99,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,258576.73,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,304979.13,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,FRANKED MAIL,1.52,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,TRAVEL,2191.58,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",422.65,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,376.31,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,180.12,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,28387.19,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,667979.36,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,1022142.43,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,TRAVEL,24015.08,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",1590.07,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,3319.05,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,29409.81,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,130839.55,941.31
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,117916.67,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,350999.99,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,TRAVEL,56.5,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",73,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,6.5,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,30386.36,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,360646.67,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",2193.89,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,157.2,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,751.54,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,11703.01,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,68652.78,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,277915.8,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,TRAVEL,995.39,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",70,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,187.8,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,284.8,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,14021.86,292.73
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,82986.1,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,249404.17,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,TRAVEL,10.77,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",4018.86,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,8738.49,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,287.4,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,22952.27,944.22
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,43651097.7,14461984.48
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,711,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",390,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,3302.52,1651.26
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,1355.94,675.12
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,3337.71,1539.12
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,111.5,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,413565.6,130415.31
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,26485.83,14703.68
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,68867.35,34485.68
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,184844.38,104972.84
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRANSPORTATION OF THINGS,45900,45900
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",684013.3,243084.22
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,6463.29,3091.45
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,1262337.03,662056.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,507718.77,239134.3
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,445955.98,167422.87
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",38949.03,38949.03
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,1379256.18,692315.9
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,79115.86,26636.68
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",173.13,79.85
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,336.65,49.9
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,105081.67,67587.64
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,5176,3536
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,112959,56634.8
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,155808.09,49448.88
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,8267.7,8267.7
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,201282.33,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,10668.7,10668.7
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,10353,10353
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,305733.42,200179.42
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,771491.72,124324.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,737795.19,173060.73
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,224973.36,84365.01
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,5754.91,1912.8
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,201698.2,56289.6
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,425831.29,425831.29
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,7460,7460
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",116614.97,116614.97
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,18972,8432
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,236876.14,79751.32
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,2819.65,2819.65
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,457129.2,457129.2
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,1539.59,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",60784.16,15310.27
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,918282,3964
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,1966.5,1666.5
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,1041815.33,409033.36
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,10625.08,6897.61
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,575693.25,284738.23
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,54427.88,184.88
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,2075807.75,889
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",2040582.63,1039328.82
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,495,495
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,158.5,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,617133.94,372615.33
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,111360.68,80874.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,56072.6,54066.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,932310.83,701382.79
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",104.99,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,12876.48,12876.48
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,978,978
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,43850.67,38876.16
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,220714.58,98866.63
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRANSPORTATION OF THINGS,1396,1396
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,13440,13440
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,2769.29,282.27
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,53307.53,41998.88
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,1014017.88,379861.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,5622,3927
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,453234.57,42806.77
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,8819.57,0
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,18170,18170
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,118159.56,599
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,1417.91,0
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,13466523.4,4434427.63
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,TRAVEL,26838.28,8115.66
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",108950.03,42718.29
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,14165.81,5037.68
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,1202307.68,427568.64
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,129042.73,41946.22
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,EQUIPMENT,627049.83,341311.6
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,3136.5,0
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,4000.12,4000.12
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,788863.62,268351.43
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,TRAVEL,5051.48,3496.63
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",6283.26,2283.19
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,4524.4,61.9
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,1059.5,190.25
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,26729.51,12938.52
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2012Q2,EQUIPMENT,10649.96,4523.66
,SERGEANT AT ARMS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,6334416.52,1968312.61
,SERGEANT AT ARMS,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",141.44,141.44
,SERGEANT AT ARMS,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,397.08,397.08
,OFFICE OF THE CHAPLAIN,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,129375,43125
,OFFICE OF THE CHAPLAIN,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,19.2,0
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,891666.65,273750
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",16693.37,6974.67
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,283.89,185.55
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,6250,6250
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,2451.56,338.51
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2012,2012Q2,EQUIPMENT,5208.51,1176
,COMPILATION OF PRECEDENTS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,331249.95,111749.97
,TECHNICAL ASSISTANTS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,325580.31,108526.77
,TECHNICAL ASSISTANTS,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,19.2,6.4
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,139230.36,46410.12
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",8608.05,3071.75
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,603.95,0
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,712.43,174.96
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,2252315.78,777887.77
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,TRAVEL,5840.13,1688.88
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",23122.71,9085.19
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,427.58,137.58
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,106423.69,27706.32
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,21229.62,9944.44
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2012,2012Q2,EQUIPMENT,50710.45,46544
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,119999.97,39999.99
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2012,2012Q2,TRAVEL,2208.47,2208.47
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",90.5,0
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,152,152
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2012,2012Q2,EQUIPMENT,737.1,245.7
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,FRANKED MAIL,1329.65,461.73
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,1587407.17,540025.01
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",5734.77,2270.09
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,39.9,0
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,36628.91,25054.19
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,32156.98,16314.76
,LAW REVISION COUNSEL,FISCAL YEAR 2012,2012Q2,EQUIPMENT,60338.15,44366.13
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,FRANKED MAIL,11.94,8.98
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,5503794.97,1856350.33
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,TRAVEL,1614.72,1030.8
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",28245.27,10233.49
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,PRINTING AND REPRODUCTION,101.9,93.8
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,OTHER SERVICES,211657.31,146695.82
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,SUPPLIES AND MATERIALS,36765.75,13691.29
,LEGISLATIVE COUNSEL,FISCAL YEAR 2012,2012Q2,EQUIPMENT,20664.69,3500.66
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,207921.78,69307.26
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2012,2012Q2,TRAVEL,120,20
